season,distinct_games_played_counts
1985,12;13;17;18
1986,12;13;14;17;18
1987,13;18
1988,12;13;18;19
1989,13;16;18;19
1990,13;18
1991,13;17;18
1992,13;18
1993,13;14
1994,5;6;7;9;10;12
1995,10;12;13
1996,13
1997,11;12
1998,11;12
1999,11;12;13
2000,12;13;14
2001,16;17;18;19;20
2002,17;18;19;20
2003,16;17;18;19;20
2004,17;18;19;20
2005,15;16;17;18;19
2006,15;16;18;19
2007,15;16;18;19
2008,15;16;17;18;19
2009,14;15;16;17;18;19
2010,14;15;16;18;19
2011,15;16;18;19
2012,15;16;17;18;19
2013,19
2014,19
2015,18;19
2016,18;19
2017,19
2018,19;20
2019,18;19
2020,10
2021,19
2022,19
2023,13
2024,13
