season,division,team1,team2,wins1,wins2,ties,games_played
1985,NL-East,MON,NYN,9,9,0,18
1985,NL-West,CIN,SDN,9,9,0,18
1986,AL-East,BOS,MIL,6,6,0,12
1986,NL-East,MON,SLN,9,9,0,18
1986,NL-West,CIN,SDN,9,9,0,18
1986,NL-West,CIN,SFN,9,9,0,18
1986,NL-West,HOU,SFN,9,9,0,18
1987,NL-East,CHN,NYN,9,9,0,18
1987,NL-East,NYN,SLN,9,9,0,18
1988,NL-East,CHN,MON,9,9,0,18
1988,NL-East,CHN,NYN,9,9,0,18
1988,NL-East,MON,PHI,9,9,1,19
1988,NL-West,CIN,HOU,9,9,0,18
1988,NL-West,HOU,LAN,9,9,0,18
1989,NL-East,MON,NYN,9,9,0,18
1989,NL-East,MON,PHI,9,9,0,18
1989,NL-East,NYN,PIT,9,9,0,18
1989,NL-West,CIN,SDN,9,9,0,18
1990,NL-East,CHN,NYN,9,9,0,18
1990,NL-West,CIN,LAN,9,9,0,18
1990,NL-West,CIN,SDN,9,9,0,18
1990,NL-West,HOU,LAN,9,9,0,18
1990,NL-West,LAN,SDN,9,9,0,18
1991,NL-West,ATL,SFN,9,9,0,18
1991,NL-West,CIN,HOU,9,9,0,18
1991,NL-West,HOU,SFN,9,9,0,18
1992,NL-East,CHN,NYN,9,9,0,18
1992,NL-East,CHN,PHI,9,9,0,18
1992,NL-East,MON,PHI,9,9,0,18
1992,NL-East,MON,PIT,9,9,0,18
1992,NL-East,NYN,SLN,9,9,0,18
1992,NL-West,ATL,CIN,9,9,0,18
1992,NL-West,LAN,SDN,9,9,0,18
1994,AL-Central,MIL,MIN,6,6,0,12
1994,AL-East,DET,NYA,3,3,0,6
1994,NL-Central,CHN,PIT,5,5,0,10
1994,NL-Central,CHN,SLN,5,5,0,10
1994,NL-Central,CIN,SLN,2,2,1,5
1994,NL-Central,PIT,SLN,5,5,0,10
1994,NL-West,COL,SDN,5,5,0,10
1994,NL-West,LAN,SFN,5,5,0,10
1997,AL-Central,CHA,MIN,6,6,0,12
1997,AL-Central,KCA,MIL,6,6,0,12
1997,AL-East,BAL,DET,6,6,0,12
1997,AL-East,BAL,TOR,6,6,0,12
1997,AL-East,BOS,TOR,6,6,0,12
1997,AL-East,DET,TOR,6,6,0,12
