season,league,division,team1,team2,result,wins1,wins2,ties,games_played
2013,MLB,AL-Central,CHA,CLE,CLE,2,17,0,19
2013,MLB,AL-Central,CHA,DET,DET,7,12,0,19
2013,MLB,AL-Central,CHA,KCA,KCA,9,10,0,19
2013,MLB,AL-Central,CHA,MIN,MIN,8,11,0,19
2013,MLB,AL-Central,CLE,DET,DET,4,15,0,19
2013,MLB,AL-Central,CLE,KCA,CLE,10,9,0,19
2013,MLB,AL-Central,CLE,MIN,CLE,13,6,0,19
2013,MLB,AL-Central,DET,KCA,KCA,9,10,0,19
2013,MLB,AL-Central,DET,MIN,DET,11,8,0,19
2013,MLB,AL-Central,KCA,MIN,KCA,15,4,0,19
2013,MLB,AL-East,BAL,BOS,BAL,11,8,0,19
2013,MLB,AL-East,BAL,NYA,NYA,9,10,0,19
2013,MLB,AL-East,BAL,TBA,TBA,6,13,0,19
2013,MLB,AL-East,BAL,TOR,BAL,10,9,0,19
2013,MLB,AL-East,BOS,NYA,BOS,13,6,0,19
2013,MLB,AL-East,BOS,TBA,BOS,12,7,0,19
2013,MLB,AL-East,BOS,TOR,BOS,11,8,0,19
2013,MLB,AL-East,NYA,TBA,TBA,7,12,0,19
2013,MLB,AL-East,NYA,TOR,NYA,14,5,0,19
2013,MLB,AL-East,TBA,TOR,TBA,11,8,0,19
2013,MLB,AL-West,ANA,HOU,HOU,9,10,0,19
2013,MLB,AL-West,ANA,OAK,OAK,8,11,0,19
2013,MLB,AL-West,ANA,SEA,ANA,11,8,0,19
2013,MLB,AL-West,ANA,TEX,TEX,4,15,0,19
2013,MLB,AL-West,HOU,OAK,OAK,4,15,0,19
2013,MLB,AL-West,HOU,SEA,SEA,9,10,0,19
2013,MLB,AL-West,HOU,TEX,TEX,2,17,0,19
2013,MLB,AL-West,OAK,SEA,SEA,8,11,0,19
2013,MLB,AL-West,OAK,TEX,OAK,10,9,0,19
2013,MLB,AL-West,SEA,TEX,TEX,7,12,0,19
2013,MLB,NL-Central,CHN,CIN,CIN,5,14,0,19
2013,MLB,NL-Central,CHN,MIL,MIL,6,13,0,19
2013,MLB,NL-Central,CHN,PIT,PIT,7,12,0,19
2013,MLB,NL-Central,CHN,SLN,SLN,7,12,0,19
2013,MLB,NL-Central,CIN,MIL,CIN,10,9,0,19
2013,MLB,NL-Central,CIN,PIT,PIT,8,11,0,19
2013,MLB,NL-Central,CIN,SLN,SLN,8,11,0,19
2013,MLB,NL-Central,MIL,PIT,PIT,7,12,0,19
2013,MLB,NL-Central,MIL,SLN,SLN,5,14,0,19
2013,MLB,NL-Central,PIT,SLN,PIT,10,9,0,19
2013,MLB,NL-East,ATL,MIA,ATL,13,6,0,19
2013,MLB,NL-East,ATL,NYN,ATL,10,9,0,19
2013,MLB,NL-East,ATL,PHI,ATL,11,8,0,19
2013,MLB,NL-East,ATL,WAS,ATL,13,6,0,19
