Team Name,Abbreviation
Los Angeles Angels,ANA
Arizona Diamondbacks,ARI
Atlanta Braves,ATL
Baltimore Orioles,BAL
Boston Red Sox,BOS
California Angels,CAL
Chicago Cubs,CHN
Chicago White Sox,CHA
Cincinnati Reds,CIN
Cleveland Guardians,CLE
Colorado Rockies,COL
Detroit Tigers,DET
Florida Marlins,FLO
Houston Astros,HOU
Kansas City Royals,KCA
Los Angeles Dodgers,LAN
Miami Marlins,MIA
Milwaukee Brewers,MIL
Minnesota Twins,MIN
Montreal Expos,MON
New York Mets,NYN
New York Yankees,NYA
Oakland Athletics,OAK
Philadelphia Phillies,PHI
Pittsburgh Pirates,PIT
San Diego Padres,SDN
San Francisco Giants,SFN
Seattle Mariners,SEA
St.Louis Cardinals,SLN
Tampa Bay Rays,TBA
Texas Rangers,TEX
Toronto Blue Jays,TOR
Washington Nationals,WSH
