season,date,league,team1,team2,result,score1,score2
1985,1985-07-31,MLB,BOS,CHA,0,1,1
1985,1985-09-08,MLB,CHN,CIN,0,5,5
1986,1986-08-26,MLB,CLE,TOR,0,6,6
1988,1988-04-23,MLB,PHI,MON,0,3,3
1988,1988-07-16,MLB,CHN,LAN,0,2,2
1989,1989-05-28,MLB,SLN,ATL,0,3,3
1989,1989-06-05,MLB,PHI,PIT,0,3,3
1989,1989-09-13,MLB,SLN,PIT,0,0,0
1993,1993-05-28,MLB,CHN,MON,0,2,2
1994,1994-04-06,MLB,CIN,SLN,0,8,8
1995,1995-07-17,MLB,NYA,CHA,0,1,1
1996,1996-06-17,MLB,BAL,TEX,0,1,1
1998,1998-04-26,MLB,CHA,TOR,0,5,5
1998,1998-08-24,MLB,PIT,SLN,0,5,5
1999,1999-10-03,MLB,CHA,MIN,0,1,1
2000,2000-04-03,MLB,CIN,MIL,0,3,3
2001,2001-09-30,MLB,NYA,BAL,0,1,1
2002,2002-08-15,MLB,ATL,SFN,0,3,3
2003,2003-09-18,MLB,BAL,NYA,0,1,1
2005,2005-06-30,MLB,CIN,HOU,0,2,2
2016,2016-09-29,MLB,PIT,CHN,0,1,1
