season,league,division,division_teams
2014,MLB,AL-East,"('BAL', 'BOS', 'NYA', 'TBA', 'TOR')"
2014,MLB,AL-Central,"('CHA', 'CLE', 'DET', 'KCA', 'MIN')"
2014,MLB,AL-West,"('ANA', 'HOU', 'OAK', 'SEA', 'TEX')"
2014,MLB,NL-East,"('ATL', 'MIA', 'NYN', 'PHI', 'WAS')"
2014,MLB,NL-Central,"('CHN', 'CIN', 'MIL', 'PIT', 'SLN')"
2014,MLB,NL-West,"('ARI', 'COL', 'LAN', 'SDN', 'SFN')"
2015,MLB,AL-East,"('BAL', 'BOS', 'NYA', 'TBA', 'TOR')"
2015,MLB,AL-Central,"('CHA', 'CLE', 'DET', 'KCA', 'MIN')"
2015,MLB,AL-West,"('ANA', 'HOU', 'OAK', 'SEA', 'TEX')"
2015,MLB,NL-East,"('ATL', 'MIA', 'NYN', 'PHI', 'WAS')"
2015,MLB,NL-Central,"('CHN', 'CIN', 'MIL', 'PIT', 'SLN')"
2015,MLB,NL-West,"('ARI', 'COL', 'LAN', 'SDN', 'SFN')"
2016,MLB,AL-East,"('BAL', 'BOS', 'NYA', 'TBA', 'TOR')"
2016,MLB,AL-Central,"('CHA', 'CLE', 'DET', 'KCA', 'MIN')"
2016,MLB,AL-West,"('ANA', 'HOU', 'OAK', 'SEA', 'TEX')"
2016,MLB,NL-East,"('ATL', 'MIA', 'NYN', 'PHI', 'WAS')"
2016,MLB,NL-Central,"('CHN', 'CIN', 'MIL', 'PIT', 'SLN')"
2016,MLB,NL-West,"('ARI', 'COL', 'LAN', 'SDN', 'SFN')"
2017,MLB,AL-East,"('BAL', 'BOS', 'NYA', 'TBA', 'TOR')"
2017,MLB,AL-Central,"('CHA', 'CLE', 'DET', 'KCA', 'MIN')"
2017,MLB,AL-West,"('ANA', 'HOU', 'OAK', 'SEA', 'TEX')"
2017,MLB,NL-East,"('ATL', 'MIA', 'NYN', 'PHI', 'WAS')"
2017,MLB,NL-Central,"('CHN', 'CIN', 'MIL', 'PIT', 'SLN')"
2017,MLB,NL-West,"('ARI', 'COL', 'LAN', 'SDN', 'SFN')"
2018,MLB,AL-East,"('BAL', 'BOS', 'NYA', 'TBA', 'TOR')"
2018,MLB,AL-Central,"('CHA', 'CLE', 'DET', 'KCA', 'MIN')"
2018,MLB,AL-West,"('ANA', 'HOU', 'OAK', 'SEA', 'TEX')"
2018,MLB,NL-East,"('ATL', 'MIA', 'NYN', 'PHI', 'WAS')"
