season,league,division,team
1985,MLB,AL-East,BAL
1985,MLB,AL-East,BOS
1985,MLB,AL-East,CLE
1985,MLB,AL-East,DET
1985,MLB,AL-East,MIL
1985,MLB,AL-East,NYA
1985,MLB,AL-East,TOR
1985,MLB,AL-West,CAL
1985,MLB,AL-West,CHA
1985,MLB,AL-West,KCA
1985,MLB,AL-West,MIN
1985,MLB,AL-West,OAK
1985,MLB,AL-West,SEA
1985,MLB,AL-West,TEX
1985,MLB,NL-East,CHN
1985,MLB,NL-East,MON
1985,MLB,NL-East,NYN
1985,MLB,NL-East,PHI
1985,MLB,NL-East,PIT
1985,MLB,NL-East,SLN
1985,MLB,NL-West,ATL
1985,MLB,NL-West,CIN
1985,MLB,NL-West,HOU
1985,MLB,NL-West,LAN
1985,MLB,NL-West,SDN
1985,MLB,NL-West,SFN
1986,MLB,AL-East,BAL
1986,MLB,AL-East,BOS
1986,MLB,AL-East,CLE
1986,MLB,AL-East,DET
1986,MLB,AL-East,MIL
1986,MLB,AL-East,NYA
1986,MLB,AL-East,TOR
1986,MLB,AL-West,CAL
1986,MLB,AL-West,CHA
1986,MLB,AL-West,KCA
1986,MLB,AL-West,MIN
1986,MLB,AL-West,OAK
1986,MLB,AL-West,SEA
1986,MLB,AL-West,TEX
1986,MLB,NL-East,CHN
1986,MLB,NL-East,MON
1986,MLB,NL-East,NYN
1986,MLB,NL-East,PHI
1986,MLB,NL-East,PIT
1986,MLB,NL-East,SLN
1986,MLB,NL-West,ATL
1986,MLB,NL-West,CIN
1986,MLB,NL-West,HOU
1986,MLB,NL-West,LAN
1986,MLB,NL-West,SDN
1986,MLB,NL-West,SFN
1987,MLB,AL-East,BAL
1987,MLB,AL-East,BOS
1987,MLB,AL-East,CLE
1987,MLB,AL-East,DET
1987,MLB,AL-East,MIL
1987,MLB,AL-East,NYA
1987,MLB,AL-East,TOR
1987,MLB,AL-West,CAL
1987,MLB,AL-West,CHA
1987,MLB,AL-West,KCA
1987,MLB,AL-West,MIN
1987,MLB,AL-West,OAK
1987,MLB,AL-West,SEA
1987,MLB,AL-West,TEX
1987,MLB,NL-East,CHN
1987,MLB,NL-East,MON
1987,MLB,NL-East,NYN
1987,MLB,NL-East,PHI
1987,MLB,NL-East,PIT
1987,MLB,NL-East,SLN
1987,MLB,NL-West,ATL
1987,MLB,NL-West,CIN
1987,MLB,NL-West,HOU
1987,MLB,NL-West,LAN
1987,MLB,NL-West,SDN
1987,MLB,NL-West,SFN
1988,MLB,AL-East,BAL
1988,MLB,AL-East,BOS
1988,MLB,AL-East,CLE
1988,MLB,AL-East,DET
1988,MLB,AL-East,MIL
1988,MLB,AL-East,NYA
1988,MLB,AL-East,TOR
1988,MLB,AL-West,CAL
1988,MLB,AL-West,CHA
1988,MLB,AL-West,KCA
1988,MLB,AL-West,MIN
1988,MLB,AL-West,OAK
1988,MLB,AL-West,SEA
1988,MLB,AL-West,TEX
1988,MLB,NL-East,CHN
1988,MLB,NL-East,MON
1988,MLB,NL-East,NYN
1988,MLB,NL-East,PHI
1988,MLB,NL-East,PIT
1988,MLB,NL-East,SLN
1988,MLB,NL-West,ATL
1988,MLB,NL-West,CIN
1988,MLB,NL-West,HOU
1988,MLB,NL-West,LAN
1988,MLB,NL-West,SDN
1988,MLB,NL-West,SFN
1989,MLB,AL-East,BAL
1989,MLB,AL-East,BOS
1989,MLB,AL-East,CLE
1989,MLB,AL-East,DET
1989,MLB,AL-East,MIL
1989,MLB,AL-East,NYA
1989,MLB,AL-East,TOR
1989,MLB,AL-West,CAL
1989,MLB,AL-West,CHA
1989,MLB,AL-West,KCA
1989,MLB,AL-West,MIN
1989,MLB,AL-West,OAK
1989,MLB,AL-West,SEA
1989,MLB,AL-West,TEX
1989,MLB,NL-East,CHN
1989,MLB,NL-East,MON
1989,MLB,NL-East,NYN
1989,MLB,NL-East,PHI
1989,MLB,NL-East,PIT
1989,MLB,NL-East,SLN
1989,MLB,NL-West,ATL
1989,MLB,NL-West,CIN
1989,MLB,NL-West,HOU
1989,MLB,NL-West,LAN
1989,MLB,NL-West,SDN
1989,MLB,NL-West,SFN
1990,MLB,AL-East,BAL
1990,MLB,AL-East,BOS
1990,MLB,AL-East,CLE
1990,MLB,AL-East,DET
1990,MLB,AL-East,MIL
1990,MLB,AL-East,NYA
1990,MLB,AL-East,TOR
1990,MLB,AL-West,CAL
1990,MLB,AL-West,CHA
1990,MLB,AL-West,KCA
1990,MLB,AL-West,MIN
1990,MLB,AL-West,OAK
1990,MLB,AL-West,SEA
1990,MLB,AL-West,TEX
1990,MLB,NL-East,CHN
1990,MLB,NL-East,MON
1990,MLB,NL-East,NYN
1990,MLB,NL-East,PHI
1990,MLB,NL-East,PIT
1990,MLB,NL-East,SLN
1990,MLB,NL-West,ATL
1990,MLB,NL-West,CIN
1990,MLB,NL-West,HOU
1990,MLB,NL-West,LAN
1990,MLB,NL-West,SDN
1990,MLB,NL-West,SFN
1991,MLB,AL-East,BAL
1991,MLB,AL-East,BOS
1991,MLB,AL-East,CLE
1991,MLB,AL-East,DET
1991,MLB,AL-East,MIL
1991,MLB,AL-East,NYA
1991,MLB,AL-East,TOR
1991,MLB,AL-West,CAL
1991,MLB,AL-West,CHA
1991,MLB,AL-West,KCA
1991,MLB,AL-West,MIN
1991,MLB,AL-West,OAK
1991,MLB,AL-West,SEA
1991,MLB,AL-West,TEX
1991,MLB,NL-East,CHN
1991,MLB,NL-East,MON
1991,MLB,NL-East,NYN
1991,MLB,NL-East,PHI
1991,MLB,NL-East,PIT
1991,MLB,NL-East,SLN
1991,MLB,NL-West,ATL
1991,MLB,NL-West,CIN
1991,MLB,NL-West,HOU
1991,MLB,NL-West,LAN
1991,MLB,NL-West,SDN
1991,MLB,NL-West,SFN
1992,MLB,AL-East,BAL
1992,MLB,AL-East,BOS
1992,MLB,AL-East,CLE
1992,MLB,AL-East,DET
1992,MLB,AL-East,MIL
